book,author,publication date,language,book publisher,ISBN,BNB id
The wind-up bird chronicle,Haruki Murakami,2023,English,The Folio Society,,GBC3H5719
1Q84,Haruki Murakami,2022,English,Vintage Digital,1529198553,GBC241801
Drive my car,Haruki Murakami,2022,English,Vintage Digital,1529198966,GBC251260
Novelist as a vocation,Haruki Murakami,2022,English,Vintage Digital,1473547315,GBC2G0812
First person singular : stories,Haruki Murakami,2021,English,Vintage Digital,1473582378,GBC116662
Murakami T : the T-shirts I love,Haruki Murakami,2021,English,Vintage Digital,1473597112,GBC1F1091
Birthday girl,Haruki Murakami,2019,English,Harvill Secker,1787301252,GBB8K3373
Birthday girl,Haruki Murakami,2019,English,Vintage Digital,1473563810,GBB8K4534
The wind-up bird chronicle,Haruki Murakami,2019,English,Vintage Classics,1784875411,GBB9D5339
Killing Commendatore,Haruki Murakami,2018,English,Harvill Secker,1787300194,GBB8E7647
Killing Commendatore,Haruki Murakami,2018,English,Vintage Digital,1473549449,GBB8E9222
Men without women : stories,Haruki Murakami,2017,English,Vintage Digital,1473547308,GBB735667
Desire,Haruki Murakami,2017,English,Vintage,1784872632,GBB762250
Absolutely on music : conversations with Seiji Ozawa,Haruki Murakami,2017,English,Vintage Books,1784700140,GBB7G0087
Men without women : stories,Haruki Murakami,2017,English,Harvill Secker,1911215370,GBB734568
Wind/Pinball : two novels,Haruki Murakami,2016,English,Vintage Books,0099590392,GBB632113
Absolutely on music : conversations with Seiji Ozawa,Haruki Murakami,2016,English,Vintage Digital,1473520158,GBB6C6243
Wind/Pinball : two early novels,Haruki Murakami,2015,English,Vintage Digital,1448190966,GBB571916
Colorless Tsukuru Tazaki and his years of pilgrimage,Haruki Murakami,2015,English,Vintage Books,0099590378,GBB556865
"Hear the wind sing ; Pinball, 1973",Haruki Murakami,2015,English,Harvill Secker,1846558351,GBB570705
A wild sheep chase,Haruki Murakami,2015,English,Vintage Books,1784870157,GBB570649
The strange library,Haruki Murakami,2014,English,Vintage Digital,1473520165,GBB4D5155
Colorless Tsukuru Tazaki and his years of pilgrimage,Haruki Murakami,2014,English,Vintage Digital,1448190959,GBB463357
Colorless Tsukuru Tazaki and his years of pilgrimage,Haruki Murakami,2014,English,Harvill Secker,1846558337,GBB457642
The strange library,Haruki Murakami,2014,English,Harvill Secker,1846559211,GBB4A6966
1Q84. Book 3,Haruki Murakami,2012,English,Vintage,0099549050,GBB239633
1Q84,Haruki Murakami,2012,English,Harvill Secker,1846556692,GBB304768
